Nome_A;Endereco_A;Nome_B;Endereco_B;Similaridade
LOJA 1;TERRENO/CD BR 040 - KM 780 DIST. INDUSTRIAL - JUIZ DE FORA;LOJA 1;BR-040, km 780 s/n, BR-040, 780 - Industrial, Juiz de Fora - MG;0.73
GPA - Recife;Rua Desembargador Góes Cavalcante, nº 261 - Recife - PE;GPA - Parnamirim - Recife/PE;Rua Desembargador Góes Cavalcante, 261;0.71
GPA - São Bernardo do Campo;Rua Santa Filomena, nºs 677, 687 e 697, Centro - SBC - SP;GPA - Centro - São Bernardo do Campo/SP;Rua Santa Filomena, nºs 677, 687 e 697, Centro;0.9
CEF - Nova Iguaçu;Av. Marechal Floriano Peixoto, nº 2.370 - N Iguaçu - RJ;Caixa - Centro - Nova Iguaçu/RJ;Av. Marechal Floriano Peixoto, nº 2.370;0.78
Santander - Ag. URB - S Bernardo do Campo;R. Marechal Deodoro - SP;- - Centro - São Bernardo do Campo/SP;R. Marechal Deodoro, 460;0.75
Santander - Ag. URB - S Bernardo do Campo;R. Marechal Deodoro - SP;Santander - Monsenhor Celso - Curitiba/PR;Rua Marechal Deodoro, 195;0.75
CEF - Recreio dos Bandeirantes;Av. das Américas, nº 15.545 - Rio de Janeiro - RJ;MDX BARRA MEDICAL CENTER;Avenida das Américas nº 6205 -  Rio de Janeiro, - RJ;0.7
CEF - Pátio do Colégio;Lg. Páteo do Colégio, 1 - São Paulo - SP;Caixa - Páteo do Colégio - São Paulo/SP;Lg. Páteo do Colégio, 1;0.71
CEF - Mutinga;Avenida das Esmeraldas, 512 - Osasco - SP;Caixa - Mutinga - Osasco/SP;Avenida das Esmeraldas, 512;0.8
C&A Leblon;Av. Afrânio de Melo Franco, 131 - Leblon - RJ;Itaú - Leblon - Rio de Janeiro/RJ;Av. Afrânio de Melo Franco, 131;0.86
TPA Empreendimentos;Av. Senador Queiroz, nº 85 a 111 - Lj 4 e 5 - São Paulo - SP;Caixa - Centro Histórico - São Paulo/SP;Av. Senador Queiroz, 85 a 111 - Lj 4 e 5;0.77
CEF - Largo de Pinheiros;Rua Paes Leme, 250/258  - São Paulo - SP;Caixa - Pinheiros - São Paulo/SP;Rua Paes Leme, 250/258;0.71
CEF - Ag Av. Pres. Wilson;Av. Rio Branco, 311-B -  Rio de Janeiro - RJ;Caixa - Presidente Wilson - Rio de Janeiro/RJ;Av. Rio Branco, 311-B;0.71
Santander - URB-Recife - R. do Impe;Rua Imp. Dom Pedro II, 255 - PE;Santander - Santo Antônio - Recife/PE;Rua Imperador Dom Pedro II, 255;0.71
GPA - Campinas;Av. Barão de Itapura, nº 2233 - Campinas - SP;GPA - Vila Rossi e Borchi - Campinas/SP;Av. Barão de Itapura, 2233;0.71
CEF - Estrada Rio do A;Est. Rio do A, 1131 - Campo Grande - RJ;Caixa - Rio do A - Campo Grande/RJ;Est. Rio do A, 1131;0.71
CEF - Cipó-Guaçu;Rua Sesefredo Klein Doll, 12 - Embu-Guaçu - SP;Caixa - Cipo Guaçu - Embu Guaçu/SP;Rua Sesefredo Klein Doll, 12;0.71
GPA - São Paulo;Av. Padre Antônio Jose Dos Santos, nº 872 - São Paulo - SP;GPA - Brooklin - São Paulo/SP;Av. Padre Antônio Jose Dos Santos, 872;0.7
V.HOUSE;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;Vhouse Faria Lima;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP;0.78
Fazenda São Roberto II;Zona rural do município de Santana do Araguaia, comarca de Santana do Araguaia, estado do Pará;Fazenda Gradaus;Zona rural do município e comarca de Santana do Araguaia, estado do Pará;0.91
Condomínio Isabella Plazza;Av. Juscelino Kubitschek 28, , São Paulo, SP, 04543-000;JK18;Av. Juscelino Kubitschek 180, , São Paulo, SP, 04543-000;0.75
Condomínio Isabella Plazza;Av. Juscelino Kubitschek 28, , São Paulo, SP, 04543-000;JK1600;Av. Juscelino Kubitschek 1600, , São Paulo, SP, 04551-060;0.75
Condominio Continental Square Faria Lima;Rua Olimpiadas, 205, Vila Olimpia, Sao Paulo/SP, Brasil, 04551-000;Condominio Continental Square Faria Lima - Torre Comercial;Rua Olimpiadas, 205, Sem Complemento, Vila Olimpia, Sao Paulo/SP, Brasil, 04551-000;0.82
Edifício Domo Corporate;Rua José Versolato, 111, Centro, São Bernardo do Campo/SP.;DOMO BUSINESS;Rua José Versolato, 111, Centro, São Bernardo do Campo, SP;0.9
Ilha Plaza;Av. Maestro Paulo e Silva, 400 - Rio de Janeiro - RJ;Ilha Plaza Shopping;Avenida Maestro Paulo e Silva 400, Shopping, Rio de Janeiro, RJ, 21920-445;0.82
Hsul POA;Av. Assis Brasil, 9300 - Sarandi - Porto Alegre - RS;Ibis POA Assis Brasil;Avenida Assis Brasil, 9300, Sem Complemento, Sarandi, Porto Alegre/RS, Brasil, 91140-000;0.7
Berfort Roxo;Avenida Cardoso Martins, nº 1.001, Bom Pastor, Rio de Janeiro - RJ;Berfort Roxo (C&C);:Avenida Cardoso Martins, nº1.001, Bom Pastor, Rio de Janeiro - RJ;0.75
Imóvel 6;Localizado à no lote nº 9 da quadra nº 7 no Bairro Vila São Francisco de Assis na Cidade de Belo Horizonte - MG, Área do Terreno: de acordo com a planta respectiva;Imóvel 5;Localizado à no lote nº 8 da quadra nº 7 no Bairro Vila São Francisco de Assis na Cidade de Belo Horizonte - MG, Área do Terreno: de acordo com a planta respectiva.;0.93
FL 3500;Avenida Brigadeiro Faria Lima, 3.500, Itaim Bibi, São Paulo - SP;Edifício Icon Faria Lima;Avenida Brigadeiro Faria Lima, 3311, Itaim Bibi, São Paulo - SP;0.73
FL 3500;Avenida Brigadeiro Faria Lima, 3.500, Itaim Bibi, São Paulo - SP;Edifício Regents Park;Av. Brigadeiro Faria Lima, 1544 - Itaim Bibi - São Paulo;0.73
São Paulo Corporate Towers;Avenida Presidente Juscelino Kubitschek, 1909, Vila Olimpia, São Paulo, SP;Complexo JK - Bloco B;Avenida Presidente Juscelino Kubitschek, 2041 Vila Olímpia - São Paulo SP;0.8
208482;Praça Benedito Calixto 186;208428;Praça Benedito Calixto,186 Pinheiros;0.8
Imovel 1;Bairro Cidade Industrial, no município de Contagem/MG;Imovel 1;Bairro Cidade Industrial Juventino Dias, no município de Contagem/MG;0.8
RAJA 701;Av. Raja Gabáglia,1597 - Belo Horizonte - MG 30380-435;PALAZZO 309;Avenida Raja Gabaglia,s/n - Belo Horizonte - MG 30380-435;0.83
RAJA 701;Av. Raja Gabáglia,1597 - Belo Horizonte - MG 30380-435;RAJA 702;Av. Raja Gabáglia, 1597 - Belo Horizonte - MG, CEP: 30380-435;0.75
Prédio Santo Amaro;Av. Nações Unidas 19847, N/A, São Paulo, SP, 04795-100;Concessionária;Av. Nações Unidas 19667, N/A, São Paulo, SP, 04795-100;0.8
Condomínio Edifício Praça Faria Lima;Av. Brig. Faria Lima 4221, , São Paulo, SP, 04538-133;Condomínio FL Corporate;Av. Brig. Faria Lima 4300, , São Paulo, SP, 04538-133;0.78
Condomínio Edifício Praça Faria Lima;Av. Brig. Faria Lima 4221, , São Paulo, SP, 04538-133;Edificio Faria Lima 4441;Av. Brig. Faria Lima 4400, São Paulo, SP, 04551-060;0.78
Condomínio Edifício Capital Plaza;Av. Pedroso de Morais 1553, , São Paulo, SP, 05419-001;Edificio Capital Plaza;Avenida Pedroso De Morais, 1553, 5º Andar, Pinheiros, São Paulo/SP, Brasil, 05419-001;0.73
Condomínio FL Corporate;Av. Brig. Faria Lima 4300, , São Paulo, SP, 04538-133;Edificio Faria Lima 4441;Av. Brig. Faria Lima 4400, São Paulo, SP, 04551-060;0.78
JK18;Av. Juscelino Kubitschek 180, , São Paulo, SP, 04543-000;JK1600;Av. Juscelino Kubitschek 1600, , São Paulo, SP, 04551-060;0.75
FL Residence;R. Elvira Ferraz 250, , São Paulo, SP, 04552-040;Subcondominio FL Residence;Rua Elvira Ferraz, 250, Vila Olímpia, São Paulo/SP, Brasil, 04552-040;0.7
Cidade Jardim Corporate Center;Av. Magalhães de Castro 4800, , São Paulo, SP, 05676-120;Capital Building;Avenida Magalhaes De Castro, 4800, 2º Andar, Butantã, São Paulo/SP, Brasil, 05502-001;0.73
Subcondominio FL Office;Rua Elvira Ferraz, 250, Sem Complemento, Vila Olímpia, São Paulo/SP, Brasil, 04552-040;Condominio Edificio Vera Cruz II;Rua Elvira Ferraz, 68, Sem Complemento, Vila Olímpia, São Paulo/SP, Brasil, 04552-040;0.85
Subcondominio FL Office;Rua Elvira Ferraz, 250, Sem Complemento, Vila Olímpia, São Paulo/SP, Brasil, 04552-040;Subcondominio FL Residence;Rua Elvira Ferraz, 250, Vila Olímpia, São Paulo/SP, Brasil, 04552-040;0.83
Edificio JK1600;Avenida Presidente Juscelino Kubitschek, 1600, Sem Complemento, Vila Nova Conceição, São Paulo/SP, Brasil, 04543-000;Condominio Edificio JK 180;Avenida Presidente Juscelino Kubitschek, 180, Sem Complemento, Vila Nova Conceicao, Sao Paulo/SP, Brasil, 04543-000;0.87
Edificio JK1600;Avenida Presidente Juscelino Kubitschek, 1600, Sem Complemento, Vila Nova Conceição, São Paulo/SP, Brasil, 04543-000;Condominio Edificio Isabella Plazza;Avenida Presidente Juscelino Kubitschek, 28, Sem Complemento, Vila Nova Conceicao, Sao Paulo/SP, Brasil, 04543-000;0.87
Edificio JK1600;Avenida Presidente Juscelino Kubitschek, 1600, Sem Complemento, Vila Nova Conceição, São Paulo/SP, Brasil, 04543-000;Edificio Maria Cecilia Lara Campos;Avenida Presidente Juscelino Kubitschek, 1400, Sem Complemento, Vila Nova Conceicao, Sao Paulo/SP, Brasil, 04543-000;0.87
Condominio Edificio JK 180;Avenida Presidente Juscelino Kubitschek, 180, Sem Complemento, Vila Nova Conceicao, Sao Paulo/SP, Brasil, 04543-000;Condominio Edificio Isabella Plazza;Avenida Presidente Juscelino Kubitschek, 28, Sem Complemento, Vila Nova Conceicao, Sao Paulo/SP, Brasil, 04543-000;0.87
Condominio Edificio JK 180;Avenida Presidente Juscelino Kubitschek, 180, Sem Complemento, Vila Nova Conceicao, Sao Paulo/SP, Brasil, 04543-000;Edificio Maria Cecilia Lara Campos;Avenida Presidente Juscelino Kubitschek, 1400, Sem Complemento, Vila Nova Conceicao, Sao Paulo/SP, Brasil, 04543-000;0.87
Condominio Grande Ufficiale Evaristo Comolatti;Avenida Paulista, 2537, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-300;Shopping Top Center II;Avenida Paulista, 1267, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-200;0.83
Condominio Grande Ufficiale Evaristo Comolatti;Avenida Paulista, 2537, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-300;Shopping Top Center;Avenida Paulista, 854, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-100;0.83
Av das Nacoes Unidas nº 19847;Avenida Das Nacoes Unidas, 19847, Sem Complemento, Vila Almeida, São Paulo/SP, Brasil, 04795-100;Av das Nacoes Unidas nº 19667;Avenida Das Nacoes Unidas, 19667, Sem Complemento, Vila Almeida, São Paulo/SP, Brasil, 04795-100;0.86
Edificio Praca Faria Lima;Avenida Brigadeiro Faria Lima, 4221, Sem Complemento, Itaim Bibi, São Paulo/SP, Brasil, 04538-133;Edificio Faria Lima 4440  (VBI FL 4440);Avenida Brigadeiro Faria Lima, 4440, Itaim Bibi, São Paulo/SP, Brasil, 04538-132;0.71
Edificio Praca Faria Lima;Avenida Brigadeiro Faria Lima, 4221, Sem Complemento, Itaim Bibi, São Paulo/SP, Brasil, 04538-133;Ibis Styles Faria Lima;Avenida Brigadeiro Faria Lima, 3989, Itaim Bibi, São Paulo/SP, Brasil, 00004-538;0.71
Edificio Aspen;Rua Olimpiadas, 194, Sem Complemento, Vila Olímpia, São Paulo/SP, Brasil, 04551-000;Condominio Continental Square Faria Lima - Torre Comercial;Rua Olimpiadas, 205, Sem Complemento, Vila Olimpia, Sao Paulo/SP, Brasil, 04551-000;0.83
Bresco Itupeva;Rodovia Dom Gabriel Paulino Bueno Couto, nº 1606, Itupeva - SP;HUB Natura Itupeva;Rodovia Dom Gabriel Paulino Bueno Couto nº 1936 - Itupeva - SP;0.8
Loja 60;Travessa Sete de Setembro, 126 - Campina;Loja 59;Travessa Sete de Setembro, 118 - Campina;0.71
Loja 42;Rua Barão do Rio Branco, 118;Pernambucanas Lapa;R. Barão Do Rio Branco, 1444;0.71
Loja 45;Rua Voluntários da Pátria, 167 - Centro;Loja 34;Rua Voluntários da Pátria, 29 - Centro;0.71
Loja 21;Av. Sete de Setembro, 740 - Centro;Loja 37;Av. Sete de Setembro, 238 - Centro;0.71
Loja 49;Rua Dias da Cruz, 155 - Meier;MAT 56.878;RUA DIAS DA CRUZ, 108 - MÉIER;0.71
Loja 3;Rua Sete de Setembro, 142 - Centro;Pernambucanas Aquidauana;Rua Sete de Setembro, 585 - Centro;0.71
24° Andar do Edifício Castello Branco;Av. República do Chile, 230 - Centro, Rio de Janeiro - RJ;Edifício Ventura;Av. República do Chile 330 (Centro), Rio de Janeiro, RJ;0.8
EDIFICIO MARIA GABRIELA - UNIDADE 81;Rua Nebraska, 420 - São Paulo - SP;BROOKLIN;Rua Nebraska, 420, Brooklin, São Paulo.;0.83
Alexandre Dumas;Rua Alexandre Dumas, nº 2051, Santo Amaro, São Paulo;Corporate Plaza;Rua Alexandre Dumas, 2100, Santo Amaro, São Paulo - SP;0.7
Edifício Atlanta;Rua Pedroso Alvarenga, N 990, Itaim Bibi, São Paulo, SP, CJ 71 e 72.;HOTEL FASANO ITAIM;R. Pedroso Alvarenga, 706 - Itaim Bibi, São Paulo - SP, 04531-010;0.73
Wtorre Morumbi;Avenida das Nações Unidas, 14.261, São Paulo/SP;Edifício WT Morumbi - 25%;Avenida das Nações Unidas, nº 14.261 - São Paulo, SP;0.8
Wtorre Morumbi;Avenida das Nações Unidas, 14.261, São Paulo/SP;Imóvel Clariant;Avenida das Nações Unidas 18001, São Paulo, SP, 04753-100;0.7
Wtorre Morumbi;Avenida das Nações Unidas, 14.261, São Paulo/SP;Complexo Rochaverá;Avenida das Nações Unidas 14171, São Paulo, SP, 04794-000;0.7
GOY-RJ-13799;Avenida Silvio Basto Tavares, 341/351 e 329/339 - Parque Presidente Juscelino\Goytacazes;GOY-RJ-13800;Avenida Silvio Basto Tavares, 341/351 e 329/339 - Parque Presidente Juscelino;0.92
Ed. Alameda Franca APTO Nº 92;Alameda Franca, 270 - Jardim Paulista - São Paulo / SP;FRANCA 102;Al. Franca - 270, Jardim Paulista - SP;0.71
Itacema APTO Nº 61;Rua Itacema, 380 - Itaim Bibi -  São Paulo / SP;223245;Rua Itacema,380 Itaim Bibi;0.71
Apto Nº114 - Ed Caroline - R. Urimonduba;Rua Urimonduba, nº 114;223707;Rua Urimonduba,114;0.75
2188444;Rua Visconde de Pirajá 174 -202;*2195158;Rua Visconde de Pirajá,605-202;0.71
923373;Rua Barão do Triunfo 786 -91;924473;Rua Barão do Triunfo 111 - 91;0.71
1453645;Avenida Raimundo Pereira de Magalhães 909 -11B;1453666;Avenida Raimundo Pereira de Magalhães,909;0.86
548723;Rua Dr. Gabriel dos Santos 224 -82;549043;Rua Gabriel dos Santos 224  82;0.86
2460530;Rua Timóteo da Costa 1033 -402A;1552171;Rua Timóteo da Costa 1033;0.83
574669;Rua Doutor Augusto de Miranda 597 -11;520530;Rua Doutor Augusto de Miranda 1251 -11;0.75
287365;Avenida Fagundes Filho 1097 -41B;2874735;Avenida Fagundes Filho 1097;0.8
568889;Rua Apinajés 352 -14B;1376530;Rua Apinajés 352;0.75
*3167518;Rua Barata RIbeiro 532, 702;1565792;Rua Barata Ribeiro 532-702-Privilégio;0.83
*2459453;Rua Guilherme Barbosa de Melo 84  94;COTE D´AZUR 123;Rua Guilherme Barbosa de Melo, 84,  Brooklin - SP;0.75
Garavelo Center;Avenida 85, nº 603, Goiânia - GO, 74823-310;GRAVELO  CENTER;Avenida 85, 603, Goiânia - GO, 74823-310;0.83
Condomínio Cidade Jardim;Av. Magalhães de Castro, nº 12000, CEP 05676-120, São Paulo - SP;AP 200 MAGNO;Av. Magalhães de Castro, nº 12.000, CEP 05676-120, São Paulo-SP;0.73
Edifício Millenium;Avenida Brigadeiro Faria Lima, 3015 - São Paulo/SP;Edifício San Paolo;Avenida Brigadeiro Faria Lima, 2055 - São Paulo/SP;0.78
Edificio Mykonos;Rua Gomes de Carvalho, 1356 - São Paulo/SP;Edifício Mykonos - escritório 51;Rua Gomes de Carvalho, 1356, Vila Olímpia - São Paulo - SP;0.7
Edifício JF 100;Rua  Joaquim Floriano, 100 - São Paulo/SP;Edifício Result Corporate Plaza;Rua  Joaquim Floriano, 413 - São Paulo/SP;0.75
Especulativo Cajamar;Rod. dos Bandeirantes, km 34 - Cajamar, SP;CD Leroy Cajamar;Rod. dos Bandeirantes, km 34;0.83
CI59118;Av. Frederico Augusto Ritter, 8.000, Distrito Industrial, Cachoeirinha, RS;Souza Cruz - Cachoeirinha/RS;AV. FREDERICO AUGUSTO RITTER, 8.000, CACHOEIRINHA//RS;0.7
IMÓVEL A MATRICULA 80.150;RUA DAVID CANABARRO S/Nº;Air Liquide - Canoas/RS;RUA DAVID CANABARRO S/Nº, Canoas/RS;0.71
IM.GUANAMBI;Estrada Lagoa dos Patos (BR 030), km 6, Guanambi, BA;Guanambi;Estrada Lagoa Patos (BR 030), km 6;0.78
IM. PETROPOL;Estrada União e Indústria, 870, Petrópolis, RJ;Petrópolis;Estrada União e Indústria, 870;0.83
Edifício Emerald;R. Severiano Amaro dos Santos, 750 - Jardim Botânico, Ribeirão Preto, SP - CEP: 14021620;Ed Emerald;R. Severiano Amaro dos Santos, 750, Ap.62 - Jardim Botânico, Ribeirão Preto - SP, 14021-620;0.79
Edifício Emerald;R. Severiano Amaro dos Santos, 750 - Jardim Botânico, Ribeirão Preto, SP - CEP: 14021620;EMERALD 62;Rua Severiano Amaro dos Santos,750 Ap 62 Jardim Botânico -Ribeirão Preto -SP;0.71
Edificio Sevilha;R. Padre Euclides, 395 - Campos Elísios, Ribeirão Preto - SP, CEP: 14080-200;Ed Sevilha;R. Padre Euclides, 395 - Campos Elísios, Ribeirão Preto - SP, 14080-200;0.9
CONDOMINIO LED CORPORATE (70,81% da área de 56.085,85m2);RUA ROBERT BOSCH, Nº 45, SÃO PAULO -SP.;CONDOMINIO LED CORPORATE;RUA ROBERT BOSCH, Nº 45, SÃO PAULO -SP;0.88
ATIBA 091311;Av. Tégula, 888, Ponte Alta, 12952-829;MATR 91314;Avenida Tégula, 888, bairro Ponte Alta;0.83
UNIDADE 01;Estrada Municipal Alberto Tofanin, km 5,5, Bairro do Pinhal;TERRA-02-12;Estrada Municipal Alberto Tofanin, km 5,5, Bairro do Pinha;0.8
UNIDADE 01;Estrada Municipal Alberto Tofanin, km 5,5, Bairro do Pinhal;GAIAAR-01-28;Estrada Municipal Alberto Tofanin, km 5,5, Bairro do Pinhal, Atibaia / Jarinú, SPEstrada Municipal Al;0.75
Condomínio Lisboa 142;R. Lisboa 142 - São Paulo;Lisboa 142;R. Lisboa, 142 - Pinheiros, São Paulo - SP, 05413-000;0.71
Assaí Araçatuba;Av. Waldemar Alves, 230 - São Vicente, Araçatuba - SP, 16050-005;ASSAI ARAÇATUBA - SP;Avenida Waldemar Alves, 230, Sem Complemento, São Vicente, Araçatuba/SP, Brasil, 16050-005;0.73
Galpão BRU;Avenida Nações Unidas 51-15, Bauru, SP, 17033-260;BRF Bauru;Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365;0.7
Imóvel Clariant;Avenida das Nações Unidas 18001, São Paulo, SP, 04753-100;Imovél Clariant - Nações Unidas;Avenida das Nações Unidas, 18001, Santo Amaro, Sao Paulo/SP, Brasil, 04795-900;0.73
Imóvel Clariant;Avenida das Nações Unidas 18001, São Paulo, SP, 04753-100;Complexo Rochaverá;Avenida das Nações Unidas 14171, São Paulo, SP, 04794-000;0.78
Imóvel Clariant;Avenida das Nações Unidas 18001, São Paulo, SP, 04753-100;Edificio Eldorado Business Tower;Avenida Das Nações Unidas 8501, Pinheiros, São Paulo, SP, 05425-070;0.7
Galpão GRU;Rua Barão de Penedo 248, P1, P13 e P14, Guarulhos, SP, 07222-015;Galpão BRF Guarulhos;Rua Barão De Penedo, 238, P1, P13 e P14, Guarulhos/SP, Brasil, 07222-015;0.77
Empreendimento Momentum;Rua Arapore, 655, Jardim Guedala, São Paulo/SP, Brasil, 05608-001;Imovel Comercial Jd Guedala - Arapore;Rua Arapore, 655, Sem Complemento, Jardim Guedala, Sao Paulo/SP, Brasil, 05608-001;0.82
Empreendimento Ed. Moderna;Rua Padre Adelino, 758, Quarta Parada, São Paulo/SP, Brasil, 03303-000;Editora Moderna Santillana - Belenzinho;Rua Padre Adelino, 758, Sem Complemento, Quarta Parada, Sao Paulo/SP, Brasil, 03303-000;0.83
Shopping Cidade São Paulo;Avenida Paulista 1230, São Paulo, SP, 01310-100;Edifício Santa Catarina;Avenida Paulista, 287 - São Paulo (SP);0.71
Shopping Cidade São Paulo;Avenida Paulista 1230, São Paulo, SP, 01310-100;Ibis São Paulo Paulista;Av. Paulista 2355,  São Paulo, SP, 01311-300;0.71
Downtown Shopping;Avenida das Américas 500, Barra da Tijuca, Rio de Janeiro, RJ, 59064-900;Centro Empresarial Barra Shopping - Edifício Montreal;Avenida Das Americas, 4200, Bloco 5, Barra Da Tijuca, Rio De Janeiro/RJ, 22640-907;0.83
Downtown Shopping;Avenida das Américas 500, Barra da Tijuca, Rio de Janeiro, RJ, 59064-900;Montreal - Centro Empresarial Barra Shopping;Avenida Das Americas, 4200, Bloco 5, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-102;0.77
Downtown Shopping;Avenida das Américas 500, Barra da Tijuca, Rio de Janeiro, RJ, 59064-900;Downtown (varejo dos blocos 5 7 e 17);Avenida Das Americas, 500, Sem Complemento, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22640-100;0.79
Downtown Shopping;Avenida das Américas 500, Barra da Tijuca, Rio de Janeiro, RJ, 59064-900;GREEN PARK BARRA (Lt. 1 Fases - 1 e 2);Avenida das Américas, 1300 - Barra da Tijuca - Rio de Janeiro, RJ;0.75
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G451;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 451 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G522;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 522 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G458;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 458 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G513;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 513 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G516;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 516 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G500;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 500 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G_40;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 40 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G518;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 518 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G519;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 519 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G_28;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 28 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G488;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 488 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G456;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 456 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G_26;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 26 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G470;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 470 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G507;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 507 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G_32;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 32 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
LED_G472;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 472 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;LED_G_25;Vaga de Garagem OR Empreendimentos Led Águas Claras Unidade 25 - Lotes nº 34 e 36, Ria 210, QS 1, Águas Claras - DF;0.9
